student_id,study_hours,focus_level,breaks_taken,difficulty_level,previous_score,recommended_hours,predicted_performance
STU001,6.8,1.2,2,2,43,5.08,61.32
STU002,1.8,4.8,0,1,94,3.78,75.31
STU003,7.4,7.3,3,2,65,7.4,93.26
STU004,8.3,7.3,2,3,73,7.37,100.0
STU005,4.2,4.1,2,1,45,5.2,68.39
STU006,6.0,8.5,4,3,38,6.98,87.88
STU007,3.6,1.7,1,1,88,3.67,63.65
STU008,4.3,2.9,2,1,51,4.32,61.45
STU009,5.2,3.4,5,5,71,6.46,67.16
STU010,3.1,1.3,2,4,57,4.9,48.57
STU011,7.5,2.9,3,4,88,6.89,86.5
STU012,7.7,5.9,5,5,81,7.93,97.87
STU013,2.2,5.4,0,1,50,4.25,64.42
STU014,1.6,4.4,3,5,31,5.4,43.75
STU015,9.0,7.8,5,3,85,7.52,99.33
STU016,7.5,7.5,4,2,43,7.52,89.88
STU017,6.8,6.5,1,3,30,7.73,89.99
STU018,2.0,4.3,2,2,40,3.34,50.26
STU019,1.6,7.8,1,2,51,5.11,84.32
STU020,4.8,2.9,4,2,81,5.41,74.3